id,code,name
175,1615,ＮＥＸＴ　ＦＵＮＤＳ　東証銀行業株価指数連動型上場投信
176,1617,ＮＥＸＴ　ＦＵＮＤＳ　食品（ＴＯＰＩＸ－１７）上場投信
177,1618,ＮＥＸＴ　ＦＵＮＤＳ　エネルギー資源（ＴＯＰＩＸ－１７）上場投信
178,1619,ＮＥＸＴ　ＦＵＮＤＳ　建設・資材（ＴＯＰＩＸ－１７）上場投信
179,1620,ＮＥＸＴ　ＦＵＮＤＳ　素材・化学（ＴＯＰＩＸ－１７）上場投信
180,1621,ＮＥＸＴ　ＦＵＮＤＳ　医薬品（ＴＯＰＩＸ－１７）上場投信
181,1622,ＮＥＸＴ　ＦＵＮＤＳ　自動車・輸送機（ＴＯＰＩＸ－１７）上場投信
182,1623,ＮＥＸＴ　ＦＵＮＤＳ　鉄鋼・非鉄（ＴＯＰＩＸ－１７）上場投信
183,1624,ＮＥＸＴ　ＦＵＮＤＳ　機械（ＴＯＰＩＸ－１７）上場投信
184,1625,ＮＥＸＴ　ＦＵＮＤＳ　電機・精密（ＴＯＰＩＸ－１７）上場投信
185,1626,ＮＥＸＴ　ＦＵＮＤＳ　情報通信・サービスその他（ＴＯＰＩＸ－１７）上場投信
186,1627,ＮＥＸＴ　ＦＵＮＤＳ　電力・ガス（ＴＯＰＩＸ－１７）上場投信
187,1628,ＮＥＸＴ　ＦＵＮＤＳ　運輸・物流（ＴＯＰＩＸ－１７）上場投信
188,1629,ＮＥＸＴ　ＦＵＮＤＳ　商社・卸売（ＴＯＰＩＸ－１７）上場投信
189,1630,ＮＥＸＴ　ＦＵＮＤＳ　小売（ＴＯＰＩＸ－１７）上場投信
190,1631,ＮＥＸＴ　ＦＵＮＤＳ　銀行（ＴＯＰＩＸ－１７）上場投信
191,1632,ＮＥＸＴ　ＦＵＮＤＳ　金融（除く銀行）（ＴＯＰＩＸ－１７）上場投信
192,1633,ＮＥＸＴ　ＦＵＮＤＳ　不動産（ＴＯＰＩＸ－１７）上場投信
193,1651,ダイワ上場投信－ＴＯＰＩＸ高配当４０指数
194,1652,ダイワ上場投信－ＭＳＣＩ日本株女性活躍指数（ＷＩＮ）
195,1653,ダイワ上場投信－ＭＳＣＩジャパンＥＳＧセレクト・リーダーズ指数
196,1654,ダイワ上場投信－ＦＴＳＥ　Ｂｌｏｓｓｏｍ　Ｊａｐａｎ　Ｉｎｄｅｘ
197,1655,ｉシェアーズ　Ｓ＆Ｐ　５００　米国株　ＥＴＦ
198,1656,ｉシェアーズ・コア　米国債７－１０年　ＥＴＦ
199,1657,ｉシェアーズ・コア　ＭＳＣＩ　先進国株（除く日本）　ＥＴＦ
200,1658,ｉシェアーズ・コア　ＭＳＣＩ　新興国株　ＥＴＦ
201,1659,ｉシェアーズ　米国リート　ＥＴＦ
202,1660,ＭＡＸＩＳ高利回りＪリート上場投信
203,1662,石油資源開発
204,1663,Ｋ＆Ｏエナジーグループ
205,1671,ＷＴＩ原油価格連動型上場投信
206,1672,ＷｉｓｄｏｍＴｒｅｅ　金上場投資信託
207,1673,ＷｉｓｄｏｍＴｒｅｅ　銀上場投資信託
208,1674,ＷｉｓｄｏｍＴｒｅｅ　白金上場投資信託
209,1675,ＷｉｓｄｏｍＴｒｅｅ　パラジウム上場投資信託
210,1676,ＷｉｓｄｏｍＴｒｅｅ　貴金属バスケット上場投資信託
211,1677,上場インデックスファンド海外債券（ＦＴＳＥ　ＷＧＢＩ）毎月分配型
212,1678,ＮＥＸＴ　ＦＵＮＤＳ　インド株式指数・Ｎｉｆｔｙ　５０連動型上場投信
213,1679,Ｓｉｍｐｌｅ－Ｘ　ＮＹダウ・ジョーンズ・インデックス上場投信
214,1680,上場インデックスファンド海外先進国株式（ＭＳＣＩ－ＫＯＫＵＳＡＩ）
215,1681,上場インデックスファンド海外新興国株式（ＭＳＣＩエマージング）
216,1682,ＮＥＸＴ　ＦＵＮＤＳ　日経・ＪＰＸ白金指数連動型上場投信
217,1684,ＷｉｓｄｏｍＴｒｅｅ　ブロード上場投資信託
218,1685,ＷｉｓｄｏｍＴｒｅｅ　エネルギー上場投資信託
219,1686,ＷｉｓｄｏｍＴｒｅｅ　産業用金属上場投資信託
220,1687,ＷｉｓｄｏｍＴｒｅｅ　農産物上場投資信託
221,1688,ＷｉｓｄｏｍＴｒｅｅ　穀物上場投資信託
222,1689,ＷｉｓｄｏｍＴｒｅｅ　天然ガス上場投資信託
223,1690,ＷｉｓｄｏｍＴｒｅｅ　ＷＴＩ　原油上場投資信託
224,1691,ＷｉｓｄｏｍＴｒｅｅ　ガソリン上場投資信託
225,1692,ＷｉｓｄｏｍＴｒｅｅ　アルミニウム上場投資信託
226,1693,ＷｉｓｄｏｍＴｒｅｅ　銅上場投資信託
227,1694,ＷｉｓｄｏｍＴｒｅｅ　ニッケル上場投資信託
228,1695,ＷｉｓｄｏｍＴｒｅｅ　小麦上場投資信託
229,1696,ＷｉｓｄｏｍＴｒｅｅ　とうもろこし上場投資信託
230,1697,ＷｉｓｄｏｍＴｒｅｅ　大豆上場投資信託
231,1698,上場インデックスファンド日本高配当（東証配当フォーカス１００）
232,1699,ＮＥＸＴ　ＦＵＮＤＳ　ＮＯＭＵＲＡ原油インデックス連動型上場投信
233,1711,省電舎ホールディングス
234,1712,ダイセキ環境ソリューション
235,1716,第一カッター興業
236,1717,明豊ファシリティワークス
237,1718,美樹工業
238,1719,安藤・間
239,1720,東急建設
240,1721,コムシスホールディングス
241,1723,日本電技
242,1724,シンクレイヤ
243,1726,ビーアールホールディングス
244,1728,ミサワホーム中国
245,1730,麻生フオームクリート
246,1736,オーテック
247,1737,三井金属エンジニアリング
248,1739,シード平和
249,1743,コーアツ工業
250,1757,中小企業ホールディングス
251,1758,太洋基礎工業
252,1762,高松コンストラクショングループ
253,1764,工藤建設
254,1766,東建コーポレーション
255,1768,ソネック
256,1770,藤田エンジニアリング
257,1773,ワイ・ティー・エル・コーポレーション・バーハッド
258,1775,富士古河Ｅ＆Ｃ
259,1776,三井住建道路
260,1780,ヤマウラ
261,1782,常磐開発
262,1783,アジアゲートホールディングス
263,1786,オリエンタル白石
264,1787,ナカボーテック
265,1788,三東工業社
266,1789,ＥＴＳホールディングス
267,1793,大本組
268,1795,マサル
269,1798,守谷商会
270,1799,第一建設工業
271,1801,大成建設
272,1802,大林組
273,1803,清水建設
274,1805,飛島建設
275,1807,佐藤渡辺
276,1808,長谷工コーポレーション
277,1810,松井建設
278,1811,錢高組
279,1812,鹿島建設
280,1813,不動テトラ
281,1814,大末建設
282,1815,鉄建建設
283,1820,西松建設
284,1821,三井住友建設
285,1822,大豊建設
286,1824,前田建設工業
287,1826,佐田建設
288,1827,ナカノフドー建設
289,1828,田辺工業
290,1833,奥村組
291,1835,東鉄工業
292,1840,土屋ホールディングス
293,1841,サンユー建設
294,1844,大盛工業
295,1847,イチケン
296,1848,富士ピー・エス
297,1850,南海辰村建設
298,1852,淺沼組
299,1853,森組
300,1860,戸田建設
301,1861,熊谷組
302,1866,北野建設
303,1867,植木組
304,1870,矢作建設工業
305,1871,ピーエス三菱
306,1873,日本ハウスホールディングス
307,1878,大東建託
308,1879,新日本建設
309,1881,ＮＩＰＰＯ
310,1882,東亜道路工業
311,1883,前田道路
312,1884,日本道路
313,1885,東亜建設工業
314,1887,日本国土開発
315,1888,若築建設
316,1890,東洋建設
317,1893,五洋建設
318,1897,金下建設
319,1898,世紀東急工業
320,1899,福田組
321,1904,大成温調
322,1905,テノックス
323,1909,日本ドライケミカル
324,1911,住友林業
325,1914,日本基礎技術
326,1921,巴コーポレーション
327,1925,大和ハウス工業
328,1926,ライト工業
329,1928,積水ハウス
330,1929,日特建設
331,1930,北陸電気工事
332,1934,ユアテック
333,1938,日本リーテック
334,1939,四電工
335,1941,中電工
336,1942,関電工
337,1944,きんでん
338,1945,東京エネシス
339,1946,トーエネック
340,1948,弘電社
341,1949,住友電設
342,1950,日本電設工業
343,1951,協和エクシオ
344,1952,新日本空調
345,1954,日本工営
346,1959,九電工
347,1960,サンテック
348,1961,三機工業
349,1963,日揮ホールディングス
350,1964,中外炉工業
351,1965,テクノ菱和
352,1966,高田工業所
353,1967,ヤマト
354,1968,太平電業
355,1969,高砂熱学工業
356,1971,中央ビルト工業
357,1972,三晃金属工業
358,1973,ＮＥＣネッツエスアイ
359,1975,朝日工業社
360,1976,明星工業
361,1979,大氣社
362,1980,ダイダン
363,1981,協和日成
364,1982,日比谷総合設備
365,1992,神田通信機
366,1994,高橋カーテンウォール工業
367,1997,暁飯島工業
368,2001,ニップン
369,2002,日清製粉グループ本社
370,2003,日東富士製粉
371,2004,昭和産業
372,2009,鳥越製粉
373,2031,ＮＥＸＴ　ＮＯＴＥＳ　香港ハンセン・ダブル・ブル　ＥＴＮ
374,2032,ＮＥＸＴ　ＮＯＴＥＳ　香港ハンセン・ベア　ＥＴＮ
375,2033,ＮＥＸＴ　ＮＯＴＥＳ　韓国ＫＯＳＰＩ・ダブル・ブル　ＥＴＮ
376,2034,ＮＥＸＴ　ＮＯＴＥＳ　韓国ＫＯＳＰＩ・ベア　ＥＴＮ
377,2035,ＮＥＸＴ　ＮＯＴＥＳ　日経平均ＶＩ先物指数　ＥＴＮ
378,2036,ＮＥＸＴ　ＮＯＴＥＳ　金先物　ダブル・ブル　ＥＴＮ
379,2037,ＮＥＸＴ　ＮＯＴＥＳ　金先物　ベア　ＥＴＮ
380,2038,ＮＥＸＴ　ＮＯＴＥＳ　ドバイ原油先物　ダブル・ブル　ＥＴＮ
381,2039,ＮＥＸＴ　ＮＯＴＥＳ　ドバイ原油先物　ベア　ＥＴＮ
382,2040,ＮＥＸＴ　ＮＯＴＥＳ　ＮＹダウ・ダブル・ブル・ドルヘッジ　ＥＴＮ
383,2041,ＮＥＸＴ　ＮＯＴＥＳ　ＮＹダウ・ベア・ドルヘッジ　ＥＴＮ
384,2042,ＮＥＸＴ　ＮＯＴＥＳ　東証マザーズ　ＥＴＮ
385,2043,ＮＥＸＴ　ＮＯＴＥＳ　ＳＴＯＸＸ　アセアン好配当５０（円、ネットリターン）ＥＴＮ
386,2044,ＮＥＸＴ　ＮＯＴＥＳ　Ｓ＆Ｐ５００　配当貴族（ネットリターン）　ＥＴＮ
387,2045,ＮＥＸＴ　ＮＯＴＥＳ　Ｓ＆Ｐ　シンガポール　リート（ネットリターン）　ＥＴＮ
388,2046,ＮＥＸＴ　ＮＯＴＥＳ　インドＮｉｆｔｙ・ダブル・ブル　ＥＴＮ
389,2047,ＮＥＸＴ　ＮＯＴＥＳ　インドＮｉｆｔｙ・ベア　ＥＴＮ
390,2048,ＮＥＸＴ　ＮＯＴＥＳ　野村日本株高配当７０（ドルヘッジ、ネットリターン）ＥＴＮ
391,2050,ＮＥＸＴ　ＮＯＴＥＳ　ニッチトップ　中小型日本株（ネットリターン）ＥＴＮ
392,2053,中部飼料
393,2055,日和産業
394,2060,フィード・ワン
395,2065,ＮＥＸＴ　ＮＯＴＥＳ　日本株配当貴族（ドルヘッジ、ネットリターン）ＥＴＮ
396,2066,ＮＥＸＴ　ＮＯＴＥＳ　東証ＲＥＩＴ（ドルヘッジ、ネットリターン）ＥＴＮ
397,2067,ＮＥＸＴ　ＮＯＴＥＳ　野村ＡＩビジネス７０（ネットリターン）ＥＴＮ
398,2068,ＮＥＸＴ　ＮＯＴＥＳ　高ベータ３０（ネットリターン）ＥＴＮ
399,2069,ＮＥＸＴ　ＮＯＴＥＳ　低ベータ５０（ネットリターン）ＥＴＮ
400,2070,スマートＥＳＧ３０女性活躍（ネットリターン）ＥＴＮ
401,2071,スマートＥＳＧ３０総合（ネットリターン）ＥＴＮ
402,2072,トップシェアインデックス（ネットリターン）ＥＴＮ
403,2107,東洋精糖
404,2108,日本甜菜製糖
405,2109,ＤＭ三井製糖ホールディングス
406,2112,塩水港精糖
407,2114,フジ日本精糖
408,2117,日新製糖
409,2120,ＬＩＦＵＬＬ
410,2121,ミクシィ
411,2122,インタースペース
412,2124,ジェイエイシーリクルートメント
413,2127,日本Ｍ＆Ａセンター
414,2130,メンバーズ
415,2134,燦キャピタルマネージメント
416,2136,ヒップ
417,2138,クルーズ
418,2139,中広
419,2146,ＵＴグループ
420,2148,アイティメディア
421,2150,ケアネット
422,2151,タケエイ
423,2152,幼児活動研究会
424,2153,Ｅ・Ｊホールディングス
425,2154,夢真ビーネックスグループ
426,2156,セーラー広告
427,2157,コシダカホールディングス
428,2158,ＦＲＯＮＴＥＯ
429,2159,フルスピード
430,2160,ジーエヌアイグループ
431,2162,ｎｍｓ　ホールディングス
432,2163,アルトナー
433,2164,地域新聞社
434,2168,パソナグループ
435,2169,ＣＤＳ
436,2170,リンクアンドモチベーション
437,2173,博展
438,2174,ＧＣＡ
439,2175,エス・エム・エス
440,2176,イナリサーチ
441,2178,トライステージ
442,2179,成学社
443,2180,サニーサイドアップグループ
444,2181,パーソルホールディングス
445,2183,リニカル
446,2185,シイエム・シイ
447,2186,ソーバル
448,2191,テラ
449,2193,クックパッド
450,2195,アミタホールディングス
451,2196,エスクリ
452,2198,アイ・ケイ・ケイ
453,2201,森永製菓
454,2204,中村屋
455,2206,江崎グリコ
456,2207,名糖産業
457,2208,ブルボン
458,2209,井村屋グループ
459,2211,不二家
460,2212,山崎製パン
461,2215,第一屋製パン
462,2216,カンロ
463,2217,モロゾフ
464,2220,亀田製菓
465,2221,岩塚製菓
466,2222,寿スピリッツ
467,2224,コモ
468,2226,湖池屋
469,2229,カルビー
470,2230,五洋食品産業
471,2264,森永乳業
472,2266,六甲バター
473,2267,ヤクルト本社
474,2268,Ｂ－Ｒ　サーティワン　アイスクリーム
475,2269,明治ホールディングス
476,2270,雪印メグミルク
477,2281,プリマハム
478,2282,日本ハム
479,2286,林兼産業
480,2288,丸大食品
481,2291,福留ハム
482,2292,Ｓ　Ｆｏｏｄｓ
483,2293,滝沢ハム
484,2294,柿安本店
485,2296,伊藤ハム米久ホールディングス
486,2300,きょくとう
487,2301,学情
488,2303,ドーン
489,2304,ＣＳＳホールディングス
490,2305,スタジオアリス
491,2307,クロスキャット
492,2309,シミックホールディングス
493,2311,エプコ
494,2315,ＣＡＩＣＡ
495,2317,システナ
496,2321,ソフトフロントホールディングス
497,2323,ｆｏｎｆｕｎ
498,2325,ＮＪＳ
499,2326,デジタルアーツ
500,2327,日鉄ソリューションズ
501,2329,東北新社
502,2330,フォーサイド
503,2331,綜合警備保障
504,2332,クエスト
505,2334,イオレ
506,2335,キューブシステム
507,2336,富士テクノソリューションズ
508,2337,いちご
509,2338,ビットワングループ
510,2340,極楽湯ホールディングス
511,2341,アルバイトタイムス
512,2342,トランスジェニック
513,2344,平安レイサービス
514,2345,クシム
515,2349,エヌアイデイ
516,2351,ＡＳＪ
517,2352,エイジア
518,2353,日本駐車場開発
519,2354,ＹＥ　ＤＩＧＩＴＡＬ
520,2359,コア
521,2370,メディネット
522,2371,カカクコム
523,2372,アイロムグループ
524,2373,ケア２１
525,2374,セントケア・ホールディング
526,2375,ギグワークス
527,2376,サイネックス
528,2378,ルネサンス
529,2379,ディップ
530,2384,ＳＢＳホールディングス
531,2385,総医研ホールディングス
532,2388,ウェッジホールディングス
533,2389,デジタルホールディングス
534,2391,プラネット
535,2393,日本ケアサプライ
536,2395,新日本科学
537,2397,ＤＮＡチップ研究所
538,2398,ツクイホールディングス
539,2402,アマナ
540,2404,鉄人化計画
541,2406,アルテ　サロン　ホールディングス
542,2408,ＫＧ情報
543,2410,キャリアデザインセンター
544,2411,ゲンダイエージェンシー
545,2412,ベネフィット・ワン
546,2413,エムスリー
547,2415,ヒューマンホールディングス
548,2418,ツカダ・グローバルホールディング
549,2424,ブラス
550,2425,ケアサービス
551,2427,アウトソーシング
552,2428,ウェルネット
553,2429,ワールドホールディングス
554,2432,ディー・エヌ・エー
555,2433,博報堂ＤＹホールディングス
556,2435,シダー
557,2436,共同ピーアール
558,2437,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ
559,2438,アスカネット
560,2440,ぐるなび
